%          Ground truth positioning data 
%  Timestamp (sec)       x (m)    y (m)    phi (rad)  
% ----------------------------------------------------
   1281004640.780710     8.212    -0.965   -3.0784
   1281004641.420494     7.905    -0.997   -3.0060
   1281004642.060345     7.628    -1.060   -2.9529
   1281004642.701090     7.267    -1.108   -3.1392
   1281004643.340525     6.958    -1.088    3.0589
   1281004643.980187     6.637    -1.061    3.0525
   1281004644.620528     6.310    -1.031    3.0404
   1281004645.260593     6.028    -0.996    3.0339
   1281004645.900408     5.696    -0.956    3.0220
   1281004646.540529     5.337    -0.917    3.0086
   1281004647.180530     5.059    -0.872    3.0056
   1281004647.820653     4.736    -0.823    2.9843
   1281004648.460560     4.372    -0.770    2.9689
   1281004649.100239     4.048    -0.709    2.9575
   1281004649.740745     3.735    -0.648    2.9438
   1281004650.380713     3.414    -0.579    2.9277
   1281004651.030156     3.095    -0.505    2.9139
   1281004651.660571     2.790    -0.444    2.9591
   1281004652.300575     2.465    -0.398    2.9596
   1281004652.940823     2.149    -0.334    2.9606
   1281004653.590495     1.821    -0.252    2.9544
   1281004654.220381     1.493    -0.192    2.9581
   1281004654.860564     1.176    -0.131    2.9489
   1281004655.510141     0.862    -0.088    3.1172
   1281004656.150105     0.546    -0.088   -3.1351
   1281004656.790550     0.237    -0.085    3.1368
   1281004657.430104    -0.091    -0.082    3.1338
   1281004658.070160    -0.411    -0.075    3.1247
   1281004658.710136    -0.704    -0.068    3.1167
   1281004659.350152    -1.026    -0.059    3.0948
   1281004659.990192    -1.349    -0.043    3.0846
   1281004660.630161    -1.653    -0.018    3.0647
   1281004661.270180    -1.959     0.012    3.0483
   1281004661.910186    -2.382     0.059    3.0252
   1281004662.760583    -2.698     0.097    3.0511
   1281004663.400508    -3.017     0.099   -3.0838
   1281004664.040648    -3.381     0.085   -3.1133
   1281004664.680756    -3.712     0.078   -3.1309
   1281004665.320343    -4.035     0.079    3.1235
   1281004665.960574    -4.335     0.085    3.1040
   1281004666.600551    -4.632     0.096    3.0894
   1281004667.240874    -4.951     0.097    3.0784
   1281004667.880722    -5.270     0.116    3.0686
   1281004668.530179    -5.588     0.138    3.0525
   1281004669.160479    -5.905     0.164    3.0495
   1281004669.800804    -6.219     0.196    3.0350
   1281004670.450155    -6.547     0.234    3.0311
   1281004671.080300    -6.870     0.277    3.0272
   1281004671.730221    -7.193     0.334    3.0149
   1281004672.369974    -7.521     0.377    3.0069
   1281004673.010518    -7.851     0.422    3.0034
   1281004673.640595    -8.152     0.466    3.0033
   1281004674.281019    -8.480     0.513    3.0271
   1281004674.921076    -8.820     0.535    3.0978
   1281004675.560437    -9.139     0.551    3.0878
   1281004676.210103    -9.467     0.569    3.0883
   1281004676.840915    -9.784     0.588    3.0801
   1281004677.480220   -10.120     0.608    3.0757
   1281004678.120209   -10.439     0.629    3.0782
   1281004678.770473   -10.760     0.648    3.0706
   1281004679.410514   -11.078     0.672    3.0600
   1281004680.050495   -11.393     0.691    3.0530
   1281004680.690962   -11.708     0.717    3.0533
   1281004681.330729   -12.022     0.745    3.0508
   1281004681.970471   -12.383     0.774    3.0534
   1281004682.610180   -12.709     0.804    3.0627
   1281004683.250124   -13.028     0.825    3.1088
   1281004684.310199   -13.145     0.825   -3.1376
   1281004689.011034   -13.411     0.814   -3.1293
   1281004689.650496   -13.741     0.818   -3.1174
   1281004690.290469   -14.070     0.810   -3.1134
   1281004690.930619   -14.382     0.801    3.0748
   1281004691.570441   -14.699     0.840    2.9875
   1281004692.210541   -15.017     0.886    2.9959
   1281004692.850183   -15.334     0.930    3.0025
   1281004693.490891   -15.646     0.974    3.0099
   1281004694.130549   -15.976     1.016    3.0105
   1281004694.770555   -16.295     1.059    3.0057
   1281004695.410540   -16.612     1.103    3.0069
   1281004696.050261   -16.933     1.146    3.0135
   1281004696.690840   -17.259     1.187    3.0175
   1281004697.330675   -17.581     1.226    3.0336
   1281004697.970708   -17.908     1.261    3.0365
   1281004698.610144   -18.233     1.296    3.0367
   1281004699.250227   -18.553     1.332    3.0304
   1281004699.890184   -18.860     1.368    3.0234
   1281004700.530127   -19.166     1.408    3.0181
   1281004701.170125   -19.483     1.452    3.0023
   1281004701.810160   -19.803     1.497    3.0012
   1281004702.450166   -20.120     1.542    2.9949
   1281004703.100513   -20.452     1.591    3.0062
   1281004703.740541   -20.804     1.637    3.0011
   1281004704.381411   -21.081     1.686    2.9935
   1281004705.010200   -21.424     1.739    2.9849
   1281004705.650171   -21.754     1.798    3.0596
   1281004706.290217   -22.081     1.791   -2.9985
   1281004706.941028   -22.376     1.752   -2.9835
   1281004707.570168   -22.687     1.654   -3.0125
   1281004708.210148   -22.989     1.677   -3.1162
   1281004709.070140   -23.209     1.685    3.0804
   1281004709.710151   -23.471     1.731    2.8206
   1281004710.990180   -23.601     1.811    2.3343
   1281004713.120633   -23.564     1.939    0.8258
   1281004714.620202   -23.291     1.932   -0.1736
   1281004715.260272   -22.957     1.858   -0.2195
   1281004715.900878   -22.636     1.780   -0.2139
   1281004716.540599   -22.324     1.708   -0.1992
   1281004717.180567   -22.026     1.651   -0.1903
   1281004717.820267   -21.727     1.597   -0.1888
   1281004718.460462   -21.411     1.531   -0.1842
   1281004719.100533   -21.090     1.466   -0.1790
   1281004719.740406   -20.776     1.410   -0.1801
   1281004720.380972   -20.425     1.354   -0.1860
   1281004721.020182   -20.109     1.295   -0.1434
   1281004721.660181   -19.801     1.261   -0.0800
   1281004722.300189   -19.479     1.239   -0.0691
   1281004722.940210   -19.166     1.220   -0.0650
   1281004723.580203   -18.836     1.200   -0.0646
   1281004724.220213   -18.516     1.180   -0.0742
   1281004724.860209   -18.198     1.158   -0.0761
   1281004725.500219   -17.885     1.130   -0.1403
   1281004726.140217   -17.575     1.076   -0.2244
   1281004726.780954   -17.239     1.003   -0.1765
   1281004727.420580   -16.924     0.956   -0.1468
   1281004728.060827   -16.618     0.910   -0.1593
   1281004728.700700   -16.292     0.860   -0.1609
   1281004729.340595   -15.989     0.812   -0.1643
   1281004729.980557   -15.666     0.763   -0.1229
   1281004730.620619   -15.345     0.742   -0.0304
   1281004731.270126   -15.028     0.739    0.0073
   1281004731.900553   -14.713     0.736    0.0100
   1281004732.541003   -14.399     0.746   -0.0008
   1281004733.190137   -14.078     0.749   -0.0509
   1281004733.820185   -13.765     0.725   -0.0930
   1281004734.460261   -13.448     0.696   -0.1097
   1281004735.100193   -13.083     0.658   -0.1256
   1281004735.750504   -12.798     0.618   -0.1390
   1281004736.390949   -12.433     0.571   -0.1516
   1281004737.020176   -12.118     0.531   -0.0544
   1281004737.450579   -11.943     0.579    0.1662
   1281004738.090695   -11.628     0.664    0.3309
   1281004738.730224   -11.318     0.775    0.4319
   1281004739.370601   -11.025     0.936    0.5730
   1281004740.010255   -10.770     1.133    0.7768
   1281004740.440533   -10.653     1.314    0.9941
   1281004740.860844   -10.545     1.510    1.2236
   1281004741.290176   -10.537     1.729    1.4705
   1281004741.930164   -10.551     2.008    1.6543
   1281004742.570230   -10.568     2.324    1.5737
   1281004743.220152   -10.555     2.695    1.4974
   1281004743.860561   -10.521     3.016    1.4196
   1281004744.490606   -10.469     3.297    1.3568
   1281004745.130189   -10.422     3.616    1.5847
   1281004745.770197   -10.434     3.965    1.6120
   1281004746.410204   -10.448     4.291    1.6031
   1281004747.050281   -10.455     4.602    1.5370
   1281004747.690235   -10.426     4.926    1.4499
   1281004748.340444   -10.406     5.238    1.6605
   1281004748.761059   -10.488     5.454    1.8444
   1281004749.400923   -10.608     5.753    2.1389
   1281004749.830194   -10.735     5.918    2.3787
   1281004750.260244   -10.928     6.034    2.6774
   1281004750.680555   -11.058     6.100    2.9861
   1281004751.110144   -11.302     6.061   -3.0082
   1281004751.540497   -11.456     6.044   -2.7324
   1281004752.601550   -11.640     5.870   -2.4219
   1281004753.030164   -11.754     5.708   -2.2095
   1281004754.310181   -11.923     5.454   -2.1235
   1281004754.950164   -12.079     5.141   -1.8514
   1281004755.380539   -12.061     4.961   -1.5718
   1281004756.020730   -12.044     4.633   -1.5513
   1281004756.660637   -12.054     4.331   -1.6888
   1281004757.940801   -12.140     4.047   -1.8935
   1281004759.650544   -12.174     3.979   -3.0310
   1281004760.501150   -12.572     3.948   -2.9515
   1281004760.930187   -12.737     3.886   -2.7528
   1281004761.570131   -13.034     3.748   -2.4603
   1281004763.270299   -12.968     3.808   -2.4994
   1281004766.690184   -13.188     3.737   -2.8902
   1281004767.330120   -13.456     3.743   -3.0024
   1281004768.820542   -13.725     3.722    3.1366
   1281004769.460529   -14.058     3.769    2.7644
   1281004770.100152   -14.326     3.940    2.3359
   1281004770.740512   -14.489     4.245    1.9085
   1281004771.380272   -14.561     4.522    1.6511
   1281004772.020485   -14.563     4.842    1.4539
   1281004772.871272   -14.481     5.291    1.4443
   1281004773.300159   -14.475     5.466    1.6829
   1281004773.730854   -14.527     5.679    1.8733
   1281004774.370354   -14.589     5.915    2.0655
   1281004776.290726   -14.520     5.825    2.1115
   1281004777.781454   -14.583     5.874    2.0699
   1281004780.340217   -14.535     5.829    2.0889
   1281004781.200948   -14.619     5.981    2.3414
   1281004784.830163   -14.723     6.188    2.0157
   1281004785.470550   -14.860     6.477    2.0221
   1281004786.110175   -15.031     6.758    2.3129
   1281004786.540110   -15.220     6.868    2.6134
   1281004786.960113   -15.412     6.953    2.9132
   1281004787.390599   -15.649     6.976   -3.0548
   1281004787.810204   -15.870     6.936   -2.7527
   1281004788.240193   -16.027     6.804   -2.4803
   1281004789.310537   -15.858     6.958   -2.3965
   1281004789.950247   -15.613     7.195   -2.3279
   1281004790.800672   -15.519     7.319   -2.1911
   1281004791.870203   -15.537     7.223   -1.9534
   1281004792.300569   -15.571     7.083   -1.7114
   1281004792.720595   -15.523     7.066   -1.5069
   1281004793.150217   -15.518     7.036   -1.2076
   1281004793.580922   -15.496     6.963   -0.8885
   1281004794.220608   -15.221     6.737   -0.6129
   1281004794.860160   -14.957     6.569   -0.6529
   1281004795.500191   -14.782     6.345   -1.0456
   1281004796.140169   -14.624     6.033   -1.0858
   1281004797.200174   -14.552     5.772   -1.0520
   1281004797.840192   -14.315     5.487   -1.3129
   1281004798.480525   -14.379     5.184   -1.7109
   1281004799.120256   -14.483     4.900   -2.1322
   1281004799.770197   -14.704     4.717   -2.5650
   1281004800.400556   -15.018     4.562   -3.0209
   1281004801.050162   -15.332     4.628    2.8370
   1281004801.690258   -15.674     4.732    2.9549
   1281004802.110265   -15.859     4.701   -3.0823
   1281004802.750175   -16.176     4.657   -3.0266
   1281004804.460288   -16.018     4.662   -3.0859
   1281004805.320196   -15.725     4.748   -3.0867
   1281004806.170501   -15.351     4.701   -3.0181
   1281004806.590394   -15.520     4.680   -2.6945
   1281004808.090160   -15.618     4.589   -2.4305
   1281004809.370189   -15.622     4.591   -2.1383
   1281004809.800451   -15.623     4.591   -1.8379
   1281004810.220263   -15.622     4.590   -1.5393
   1281004810.650189   -15.621     4.586   -1.2432
   1281004811.080846   -15.579     4.567   -0.9432
   1281004811.500540   -15.430     4.400   -0.6316
   1281004811.930185   -15.259     4.305   -0.3322
   1281004812.570217   -14.947     4.213   -0.3114
   1281004813.210188   -14.749     4.108   -0.5558
   1281004814.280640   -14.509     3.926   -0.6051
   1281004814.701113   -14.342     3.851   -0.3802
   1281004815.340221   -14.282     3.870   -0.1274
   1281004815.980079   -13.981     3.861   -0.0489
   1281004816.630144   -13.657     3.764   -0.3508
   1281004817.260389   -13.359     3.632   -0.4387
   1281004817.900593   -13.057     3.518   -0.1626
   1281004818.550141   -12.741     3.486   -0.0967
   1281004819.180643   -12.431     3.456   -0.0989
   1281004819.830108   -12.110     3.418   -0.0848
   1281004820.460640   -11.805     3.372   -0.2849
   1281004821.100535   -11.521     3.226   -0.6769
   1281004821.740926   -11.280     3.000   -0.7329
   1281004822.390484   -11.024     2.802   -0.5852
   1281004823.020217   -10.774     2.610   -0.8066
   1281004823.670209   -10.600     2.342   -1.2470
   1281004824.310187   -10.554     2.029   -1.6753
   1281004824.950588   -10.677     1.725   -2.1097
   1281004825.590635   -10.882     1.488   -2.5541
   1281004826.230453   -11.175     1.372   -2.9979
   1281004826.870553   -11.503     1.361   -3.0801
   1281004827.290721   -11.741     1.333   -2.8804
   1281004827.930410   -12.057     1.244   -2.8607
   1281004828.570727   -12.362     1.163   -2.9589
   1281004829.210565   -12.673     1.121   -3.0642
   1281004829.860112   -12.991     1.110    3.1160
   1281004830.490751   -13.303     1.130    3.0094
   1281004831.131090   -13.610     1.186    3.0052
   1281004831.770560   -13.962     1.207   -3.0754
   1281004832.420192   -14.284     1.169   -3.0155
   1281004833.060208   -14.604     1.144   -3.1001
   1281004833.700202   -14.932     1.130   -3.0963
   1281004834.340200   -15.240     1.108   -3.0926
   1281004834.980209   -15.546     1.090   -3.0896
   1281004835.621198   -15.866     1.072   -3.0883
   1281004836.260412   -16.184     1.056   -3.0950
   1281004836.900180   -16.509     1.044   -3.1016
   1281004837.540147   -16.829     1.029   -3.1017
   1281004838.180189   -17.151     1.017   -3.1171
   1281004838.820165   -17.483     1.016    3.1131
   1281004839.460116   -17.815     1.032    3.0635
   1281004840.100335   -18.144     1.065    3.0147
   1281004840.740252   -18.487     1.111    2.9973
   1281004841.380198   -18.809     1.157    3.0206
   1281004842.020152   -19.126     1.172   -3.0658
   1281004842.660111   -19.428     1.118   -2.8968
   1281004843.300800   -19.731     1.044   -2.9733
   1281004843.940202   -19.976     1.025   -3.0803
   1281004844.790765   -19.782     1.049   -2.8492
   1281004845.220203   -19.621     1.091   -2.5723
   1281004845.650539   -19.617     1.066   -2.3528
   1281004846.070564   -19.757     0.895   -2.0485
   1281004846.711127   -19.725     0.838   -1.7028
   1281004849.700424   -19.737     0.544   -1.6716
   1281004850.340180   -19.777     0.223   -1.6914
   1281004850.980558   -19.798    -0.089   -1.4881
   1281004851.620538   -19.739    -0.417   -1.2792
   1281004852.260142   -19.686    -0.692   -1.3220
   1281004852.900151   -19.652    -1.014   -1.5484
   1281004853.540179   -19.589    -1.365   -1.4563
   1281004854.180223   -19.588    -1.646   -1.4041
   1281004854.819988   -19.570    -1.996   -1.6599
   1281004855.470966   -19.668    -2.298   -1.8279
   1281004856.100231   -19.746    -2.616   -1.6885
   1281004856.530559   -19.757    -2.803   -1.4333
   1281004857.810761   -19.702    -3.095   -1.5709
   1281004858.450525   -19.756    -3.360   -2.0255
   1281004859.090673   -19.912    -3.605   -2.1927
   1281004859.730527   -20.094    -3.878   -2.0981
   1281004860.370636   -20.245    -4.145   -2.0719
   1281004861.650172   -20.193    -4.047   -1.8576
   1281004862.930544   -20.197    -4.053   -1.5655
   1281004863.360187   -20.183    -4.092   -1.2437
   1281004863.790492   -20.159    -4.206   -0.9234
   1281004865.070475   -20.277    -4.041   -0.6057
   1281004865.491048   -20.274    -4.015   -0.3390
   1281004865.920208   -20.139    -4.000   -0.0407
   1281004866.350774   -20.021    -4.001    0.2830
   1281004866.780198   -20.105    -4.030    0.5396
   1281004867.200208   -20.229    -4.146    0.8169
   1281004867.631068   -20.202    -4.139    1.1188
   1281004868.480659   -20.143    -3.975    1.2537
   1281004869.340533   -19.979    -3.608    1.0499
   1281004870.190418   -19.844    -3.192    1.2136
   1281004870.830587   -19.741    -2.909    1.2642
   1281004871.470538   -19.678    -2.582    1.4886
   1281004872.111255   -19.657    -2.274    1.5274
   1281004872.750751   -19.655    -1.930    1.6363
   1281004873.390170   -19.758    -1.639    1.9600
   1281004874.240231   -19.921    -1.349    2.0527
   1281004874.880577   -19.994    -1.059    1.7370
   1281004875.520158   -19.990    -0.738    1.3324
   1281004876.160218   -19.898    -0.437    1.2058
   1281004876.800195   -19.775    -0.142    1.2356
   1281004877.230525   -19.714     0.066    1.4524
   1281004877.660153   -19.715     0.257    1.7513
   1281004878.080214   -19.790     0.406    2.0469
   1281004878.510740   -19.863     0.540    2.3504
   1281004879.150576   -20.165     0.740    2.5673
   1281004879.790587   -20.428     0.907    2.6474
   1281004880.430795   -20.716     1.048    2.7394
   1281004881.070879   -21.016     1.168    2.8068
   1281004881.710561   -21.325     1.270    2.8870
   1281004882.350907   -21.663     1.357    2.9221
   1281004882.990777   -21.979     1.442    2.8492
   1281004883.630321   -22.268     1.552    2.7703
   1281004884.271199   -22.572     1.691    2.6838
   1281004884.910354   -22.855     1.854    2.6006
   1281004885.980164   -22.984     1.931    2.5967
   1281004889.400721   -23.166     2.041    2.5554
   1281004893.870846   -23.097     2.039    2.8129
   1281004894.300139   -23.069     1.993    3.0370
   1281004894.730525   -23.145     1.984   -2.9240
   1281004895.150930   -23.339     1.919   -2.6171
   1281004895.580201   -23.472     1.760   -2.3233
   1281004896.010504   -23.608     1.603   -2.0208
   1281004896.430593   -23.626     1.405   -1.7392
   1281004896.860140   -23.635     1.219   -1.4331
   1281004897.501172   -23.576     0.887   -1.3571
   1281004898.140576   -23.501     0.604   -1.3614
   1281004898.790189   -23.428     0.317   -1.3579
   1281004899.420227   -23.292     0.043   -1.1381
   1281004900.060206   -23.130    -0.205   -1.1160
   1281004900.700237   -23.065    -0.479   -1.4773
   1281004901.340216   -23.077    -0.748   -1.8229
   1281004902.620262   -23.087    -0.738   -1.7099
   1281004903.271189   -23.058    -0.512   -1.5129
   1281004904.120182   -23.002    -0.765   -1.3547
   1281004904.760554   -22.981    -1.111   -1.3548
   1281004905.400135   -22.912    -1.394   -1.4672
   1281004906.040437   -22.915    -1.682   -1.7315
   1281004906.681385   -22.930    -1.794   -1.7890
   1281004908.170184   -22.896    -1.450   -1.6308
   1281004909.240830   -22.903    -1.021   -1.4994
   1281004910.100524   -23.018    -0.854   -1.3574
   1281004910.951248   -23.128    -0.447   -1.3199
   1281004911.800213   -23.210    -0.017   -1.3243
   1281004912.650563   -23.410     0.215   -1.2811
   1281004913.510603   -23.557     0.526   -1.2392
   1281004914.790253   -23.525     0.611   -1.0301
   1281004915.210841   -23.516     0.639   -0.7459
   1281004915.640185   -23.509     0.666   -0.4497
   1281004916.071346   -23.488     0.691   -0.1451
   1281004916.500189   -23.419     0.734    0.1386
   1281004917.140156   -23.111     0.841    0.2907
   1281004917.780380   -22.799     0.947    0.2559
   1281004918.420495   -22.486     1.067    0.3436
   1281004919.061049   -22.170     1.207    0.3985
   1281004919.910197   -21.787     1.348    0.2319
   1281004922.261421   -21.786     1.363    0.2051
   1281004924.610208   -21.540     1.403    0.1250
   1281004925.240553   -21.214     1.405   -0.1900
   1281004925.890185   -20.884     1.338   -0.1462
   1281004926.530160   -20.557     1.309   -0.0779
   1281004927.170179   -20.212     1.282   -0.0776
   1281004927.810764   -19.900     1.259   -0.0711
   1281004928.440057   -19.585     1.235   -0.0694
   1281004929.091514   -19.265     1.213   -0.0626
   1281004929.730517   -18.946     1.195   -0.0570
   1281004930.370247   -18.624     1.176   -0.0595
   1281004931.010240   -18.308     1.153   -0.1083
   1281004931.650695   -17.966     1.104   -0.1813
   1281004932.290186   -17.666     1.037   -0.2531
   1281004932.930177   -17.351     0.949   -0.2844
   1281004933.570268   -17.047     0.859   -0.2879
   1281004934.210260   -16.749     0.768   -0.2854
   1281004934.850198   -16.421     0.677   -0.2809
   1281004935.490219   -16.112     0.588   -0.2779
   1281004936.130192   -15.810     0.487   -0.4622
   1281004936.770634   -15.529     0.319   -0.7130
   1281004937.410145   -15.351     0.039   -1.1472
   1281004938.050233   -15.319    -0.263   -1.5754
   1281004938.690173   -15.416    -0.566   -2.0054
   1281004939.330231   -15.594    -0.833   -2.4570
   1281004939.970178   -15.880    -0.989   -2.8970
   1281004940.610147   -16.196    -1.008    3.0103
   1281004941.250456   -16.511    -0.968    3.0452
   1281004941.890524   -16.827    -0.963   -3.0720
   1281004942.320211   -17.021    -0.969   -2.8642
   1281004942.750498   -17.043    -0.978   -2.5849
   1281004943.170570   -17.094    -1.067   -2.2736
   1281004943.600659   -17.157    -1.152   -1.9823
   1281004944.020796   -17.170    -1.194   -1.6831
   1281004944.450189   -17.169    -1.329   -1.3644
   1281004944.880530   -17.094    -1.495   -1.0727
   1281004945.310162   -16.974    -1.662   -0.7750
   1281004945.730480   -16.765    -1.797   -0.5227
   1281004946.370352   -16.481    -1.941   -0.4293
   1281004947.010280   -16.196    -2.085   -0.6205
   1281004947.650191   -15.957    -2.308   -0.9264
   1281004948.290106   -15.812    -2.595   -1.3301
   1281004948.940731   -15.744    -2.918   -1.4129
   1281004949.570182   -15.779    -3.226   -1.7115
   1281004950.209992   -15.875    -3.539   -2.1608
   1281004950.850817   -16.097    -3.776   -2.6100
   1281004951.490394   -16.410    -3.911   -2.6322
   1281004952.770223   -16.522    -3.977   -2.4571
   1281004953.200548   -16.584    -4.037   -2.1778
   1281004953.630146   -16.567    -4.102   -1.8974
   1281004954.060838   -16.582    -4.142   -1.6232
   1281004954.480574   -16.583    -4.146   -1.3275
   1281004954.910195   -16.583    -4.146   -1.0238
   1281004955.330219   -16.583    -4.147   -0.7251
   1281004955.760979   -16.584    -4.147   -0.4271
   1281004956.190040   -16.610    -4.145   -0.1223
   1281004956.610217   -16.496    -4.147    0.1754
   1281004957.040613   -16.372    -4.108    0.4747
   1281004957.470594   -16.229    -3.978    0.7706
   1281004957.900781   -16.089    -3.813    1.0760
   1281004958.320294   -16.010    -3.569    1.3610
   1281004958.960218   -15.978    -3.285    1.5070
   1281004959.600166   -15.941    -2.964    1.3013
   1281004960.250422   -15.813    -2.665    1.0382
   1281004960.880192   -15.663    -2.390    1.1961
   1281004961.310522   -15.606    -2.143    1.4337
   1281004961.950520   -15.566    -1.865    1.3859
   1281004962.590337   -15.494    -1.549    1.2518
   1281004963.230746   -15.383    -1.200    1.3019
   1281004963.870229   -15.319    -0.895    1.4226
   1281004964.510205   -15.281    -0.583    1.4847
   1281004965.150191   -15.249    -0.260    1.4863
   1281004965.790258   -15.204     0.043    1.3190
   1281004966.430187   -15.063     0.333    0.8876
   1281004967.070296   -14.774     0.531    0.4466
   1281004967.710989   -14.449     0.595    0.0089
   1281004968.360592   -14.142     0.520   -0.3315
   1281004969.000790   -13.841     0.407   -0.3195
   1281004969.630190   -13.518     0.386   -0.1011
   1281004970.270246   -13.200     0.386    0.1252
   1281004970.920181   -12.880     0.437    0.1568
   1281004971.550166   -12.557     0.484    0.1568
   1281004972.410258   -12.158     0.553    0.1553
   1281004973.050110   -11.838     0.605    0.1030
   1281004973.690102   -11.513     0.607   -0.2077
   1281004974.330176   -11.216     0.489   -0.5577
   1281004974.970193   -10.958     0.270   -0.9077
   1281004975.610180   -10.802    -0.021   -1.2444
   1281004976.250184   -10.732    -0.374   -1.3824
   1281004976.890183   -10.697    -0.692   -1.6843
   1281004977.530143   -10.831    -0.943   -2.1107
   1281004978.170191   -11.084    -1.177   -2.5503
   1281004978.810178   -11.368    -1.326   -2.8646
   1281004979.450201   -11.682    -1.356    2.9777
   1281004980.090135   -11.966    -1.300    2.9383
   1281004982.010382   -11.847    -1.305   -3.0741
   1281004982.860049   -12.025    -1.339   -3.0813
   1281004983.500188   -12.358    -1.360   -3.0734
   1281004984.150590   -12.679    -1.390   -3.0029
   1281004984.780223   -12.978    -1.440   -2.9181
   1281004986.060567   -12.952    -1.467   -2.7748
   1281004986.489962   -12.811    -1.387   -2.5290
   1281004987.990194   -12.861    -1.424   -2.2194
   1281004989.050158   -12.822    -1.385   -2.0034
   1281004990.550038   -12.936    -1.476   -2.1938
   1281004992.680521   -12.978    -1.530   -1.9948
   1281004993.110100   -12.929    -1.537   -1.7181
   1281004993.540894   -12.930    -1.537   -1.4250
   1281004993.960230   -12.928    -1.546   -1.1286
   1281004994.390102   -12.911    -1.578   -0.8233
   1281004995.030107   -12.679    -1.787   -0.7004
   1281004995.670130   -12.444    -2.017   -0.9634
   1281004996.520745   -12.310    -2.450   -1.5443
   1281004997.160858   -12.329    -2.772   -1.6782
   1281004997.800858   -12.367    -3.100   -1.7461
   1281004998.440194   -12.440    -3.420   -1.8670
   1281004999.300197   -12.469    -3.537   -1.8316
   1281005000.790485   -12.510    -3.723   -1.6211
   1281005001.430724   -12.508    -3.751   -1.4147
   1281005002.071049   -12.464    -3.840   -1.1163
   1281005002.500182   -12.350    -4.024   -0.8170
   1281005002.920333   -12.174    -4.168   -0.5719
   1281005003.560228   -11.914    -4.345   -0.6924
   1281005004.210099   -11.718    -4.571   -1.1196
   1281005005.270723   -11.686    -4.728   -1.4107
   1281005005.910141   -11.757    -4.474   -1.1589
   1281005006.340284   -11.848    -4.289   -0.8808
   1281005006.770527   -11.934    -4.206   -0.5785
   1281005007.190520   -11.868    -4.206   -0.2871
   1281005007.620303   -11.685    -4.191    0.0005
   1281005008.050804   -11.523    -4.184    0.2226
   1281005008.900263   -11.709    -4.206    0.4038
   1281005009.760543   -11.541    -4.094    0.6767
   1281005010.390549   -11.483    -4.071    1.0286
   1281005010.820211   -11.463    -3.944    1.3024
   1281005011.460224   -11.394    -3.587    1.3546
   1281005012.100219   -11.300    -3.281    1.1768
   1281005012.740276   -11.180    -2.970    1.3063
   1281005013.170561   -11.149    -2.774    1.5337
   1281005013.810508   -11.140    -2.461    1.5568
   1281005014.451243   -11.140    -2.147    1.5770
   1281005015.090321   -11.120    -1.824    1.3368
   1281005015.730168   -11.008    -1.527    1.1138
   1281005016.370166   -10.885    -1.232    1.3236
   1281005017.010128   -10.827    -0.911    1.4617
   1281005017.650131   -10.797    -0.583    1.4785
   1281005018.290131   -10.764    -0.260    1.4746
   1281005018.930194   -10.730     0.062    1.5362
   1281005019.360838   -10.740     0.291    1.7607
   1281005019.780541   -10.841     0.464    2.0548
   1281005020.210191   -10.963     0.653    2.3580
   1281005020.630199   -11.130     0.779    2.6605
   1281005021.060658   -11.318     0.823    2.9584
